[Sat Jan 18 10:16:48.817943 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:49975] PHP  17. filemtime() C:\\htdocs\\symfony\\curso-symfony\\vendor\\twig\\twig\\lib\\Twig\\Loader\\Filesystem.php:165
[Sat Jan 18 10:20:02.621620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP Warning:  filemtime(): stat failed for /var/www/symcurs.dev/src/Acme/DemoBundle/Resources/views/Welcome/index.html.twig in C:\\htdocs\\symfony\\curso-symfony\\vendor\\twig\\twig\\lib\\Twig\\Loader\\Filesystem.php on line 165
[Sat Jan 18 10:20:02.621620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP Stack trace:
[Sat Jan 18 10:20:02.621620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   1. {main}() C:\\htdocs\\symfony\\curso-symfony\\web\\app_dev.php:0
[Sat Jan 18 10:20:02.622619 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   2. Symfony\\Component\\HttpKernel\\Kernel->handle() C:\\htdocs\\symfony\\curso-symfony\\web\\app_dev.php:28
[Sat Jan 18 10:20:02.622619 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   3. Symfony\\Component\\HttpKernel\\DependencyInjection\\ContainerAwareHttpKernel->handle() C:\\htdocs\\symfony\\curso-symfony\\app\\bootstrap.php.cache:2303
[Sat Jan 18 10:20:02.622619 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   4. Symfony\\Component\\HttpKernel\\HttpKernel->handle() C:\\htdocs\\symfony\\curso-symfony\\app\\bootstrap.php.cache:3022
[Sat Jan 18 10:20:02.622619 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   5. Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw() C:\\htdocs\\symfony\\curso-symfony\\app\\bootstrap.php.cache:2883
[Sat Jan 18 10:20:02.623620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   6. call_user_func_array() C:\\htdocs\\symfony\\curso-symfony\\app\\bootstrap.php.cache:2911
[Sat Jan 18 10:20:02.623620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   7. Acme\\DemoBundle\\Controller\\WelcomeController->indexAction() C:\\htdocs\\symfony\\curso-symfony\\app\\bootstrap.php.cache:2911
[Sat Jan 18 10:20:02.623620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   8. Symfony\\Bundle\\FrameworkBundle\\Controller\\Controller->render() C:\\htdocs\\symfony\\curso-symfony\\src\\Acme\\DemoBundle\\Controller\\WelcomeController.php:16
[Sat Jan 18 10:20:02.623620 2014] [:error] [pid 1328:tid 1668] [client 127.0.0.1:50015] PHP   9. Symfony\\Bundle\\TwigBundle\\TwigEngine->renderResponse() C:\\htdocs\\symfony\\curso-symfony\\vendor\\symfony\\symfony\\src\\Symfony\\Bundle\\FrameworkBundle\\Controller\\Controller.php:106
